experiment,CARCHARGEAVAILSCEN,ChargingCost$22,CARSVCAVAILSCEN,INTDENSITYSCEN,LANEMILESCEN,LaneMileCost$22,LUDENSITYMIX,OPSDEPLOYSCEN,OpsCost$22,SHDCARSVCOCCUPRATE,SOVDIVIVERTSCEN,SOVCost$22,TAXSCEN,Per Mile Charge$2022,TDMINVESTMENTSCEN,,TRANSITSERVICESCEN,TransitCost$22,VehOwnTax,VehOwnTax(Adj)$2022,RoadUseTax,AnnualRoadUseTax$2022,TotalFuelTax,TotalFuelTax2022,Total Budget$2022,Costs$2022,PresAdapt$2022,JobsDeficit_statewide,Bridges_restricted_statewide,ForfeitGDP_statewide,HouseholdDvmtPerPrsn,TotalDvmtPerPrsn,TotalCO2e,HouseholdCO2ePerPrsn,HouseholdCO2ePerMileRural,BusCO2eRate_Metro,HvyTrkAveUrbanCO2eRate_Metro,TransitTripsPerCapita,TransitPMTPerPrsnUrban,BikeTripsPerCapita,BikePMTPerPrsnUrban,WalkTripsPerCapita,WalkPMTPerPrsnUrban,ArtDvmtPropExtCong_SalemKeizer,FwyExtCongTTI_Metro,ArtExtCongTTI_Metro,LdvAveSpeed_Metro,AutoFatalCrash_Metro,AutoFatalUrban,AutoInjuryUrban,AutoFatalRural,OwnCostProp,OwnCostPropHhLess25K,OwnCostPropHh25Kto50K
2870,0.531033447,285620668.9,mid,0.714033119,0.749571849,974785924.6,0.021717234,0.403814344,580762868.9,1.5,0.748743624,899497449.6,0.359632267,0.035502449,0.571172804,,0.649638912,2079566695,254029583.5,376590560.2,3201061.484,1472281786,60555756.28,76306141.14,4586619433,2290918187,2295701246,100000,300,350,19.80007454,23.70108522,28220138485,4915.476058,258.289379,1891.050724,1175.811705,0.272647798,48.20711399,0.138309192,1161.288687,2.611978467,0.557838494,0.210807653,2.344717149,1.329974048,28.81104179,50.75455203,83.73404845,19824.04184,54.96510706,0.03750489,0.156880604,0.090837349
2871,0.624534341,287490686.8,high,0.244474517,0.326389361,763194680.4,0.496653897,0.759079199,651815839.8,1.5,0.231050579,692420231.7,0.399281906,0.037399602,0.678008361,,0.943349601,2432019522,241964899.5,358705060.3,3345367.375,1538653187,60366164.65,76067237.25,4684465803,2048711323,2635754480,100000,300,350,19.74540356,23.66861196,28023368377,4873.979662,259.7091848,1891.050724,1175.764098,0.306872091,96.69485725,0.067628095,1183.616561,1.399308366,0.582558046,0.211006143,2.338846313,1.327699788,28.77212805,50.41464024,82.95728321,19625.75564,54.89986413,0.035846116,0.139270948,0.085413846
2872,0.228799379,279575987.6,high,0.18065664,0.421562643,810781321.7,0.27460707,0.578341119,615668223.7,1.5,0.933706984,973482793.6,0.714237182,0.052469557,0.585381868,,0.11532839,1438394069,251676079.4,373101567.2,4688882.229,2156583352,61028595.02,76901963.93,5781700870,2192766930,3588933940,40000,200,150,19.98263831,23.88238951,28348435754,4941.593518,259.0994469,1891.050724,1176.133948,0.225626885,21.20849959,0.066242206,1136.723196,0.833370989,0.480321807,0.210430021,2.341832416,1.328857509,28.76099282,52.71175176,85.78586508,20336.18478,54.51471004,0.0372394,0.153050703,0.089517206
2873,0.944445101,293888902,high,0.05182034,0.193946194,696973097,0.299613113,0.503858877,600771775.4,1.5,0.206703065,682681226,0.2726494,0.0313405,0.200475753,,0.867924805,2341509767,246447235.9,365349977.5,2915580.966,1340979164,62063305.55,78205799.81,4348923664,1932974388,2415949277,100000,300,350,20.33653744,24.25348205,28840884190,5020.846077,258.9709415,1891.050724,1176.248642,0.292855771,89.83524416,0.050019422,1180.920387,1.180273469,0.571618871,0.212404956,2.34306444,1.329333728,28.72057345,53.11317702,87.03799209,20618.07965,55.08260352,0.036469384,0.145636555,0.087345193
2874,0.154955752,278099115,low,0.227774773,0.027819814,613909907.2,0.063581521,0.096712105,519342420.9,1.5,0.093971572,637588628.7,0.927659851,0.062681388,0.769376619,,0.191974199,1530369038,256169757.1,379763297.6,5656662.202,2601699709,61909200.05,78011611.9,6569258110,1730145757,4839112352,0,0,0,20.24956674,24.13435572,28771533843,5023.221075,259.1833168,1891.050724,1176.383497,0.236893147,20.35180497,0.070699015,1145.365926,0.912815624,0.493637497,0.212325457,2.349795406,1.331930048,28.66971392,52.67785976,87.1445554,20650.63786,54.24536926,0.03785628,0.160120596,0.091780843
2875,0.235665909,279713318.2,high,0.604975974,0.744215056,972107528,0.249627869,0.715344123,643068824.6,1.5,0.408379595,763351838.2,0.641114604,0.048970794,0.891309012,,0.45059954,1840719448,249768305.7,370273355,4338215.694,1995299367,60426010.17,76142648.43,5495296881,2276565590,3218731292,80000,250,225,19.74363307,23.63936869,27981995749,4882.027421,259.1215986,1891.050724,1175.783457,0.251926172,34.71122333,0.120573035,1150.119319,1.770486135,0.535569351,0.2102896,2.33956916,1.327979715,28.82969367,50.85782818,83.43903553,19747.34235,54.62238594,0.036924095,0.150511432,0.088751469
2876,0.953547856,294070957.1,mid,0.734625522,0.750204491,975102245.6,0.776362374,0.411124992,582224998.4,1.5,0.437240575,774896230.1,0.290127202,0.032176776,0.785647032,,0.694252299,2133102759,239081874.3,354431069.6,2800783.805,1288179875,58432337.47,73630426.97,4237599099,2238846316,1998752783,150000,400,500,19.01816947,22.92572147,27088551699,4715.310437,260.236126,1891.050724,1175.308632,0.29442876,49.19016937,0.143833502,1163.755754,2.88061027,0.565666565,0.208997472,2.344596434,1.329927543,28.83038926,47.29366125,77.78432991,18360.89398,55.03548134,0.035368826,0.13452159,0.084256922
2877,0.376241784,282524835.7,high,0.713510245,0.456581757,828290878.3,0.398965408,0.545820832,609164166.4,1.5,0.461676039,784670415.5,0.267762184,0.031106657,0.629945875,,0.828868008,2294641609,244414043.9,362335836.8,2781783.757,1279441079,59752869.92,75294426.26,4233122971,2112315088,2120807883,100000,300,350,19.54130824,23.45768088,27753092799,4829.86181,259.173425,1891.050724,1175.688274,0.29189697,65.85163886,0.137180143,1175.641788,2.839968773,0.573807595,0.210518405,2.342369947,1.329065742,28.78001248,49.69604176,81.43729958,19283.07343,55.06879613,0.036155051,0.14305266,0.086465859
2878,0.768170917,290363418.3,mid,0.645717608,0.72435221,962176105,0.330187416,0.140708806,528141761.2,1.5,0.602009131,840803652.6,0.894845441,0.061111287,0.99045461,,0.073842165,1388610598,251026298.3,372138287.9,5297795.373,2436644118,59686338.6,75210590.33,6267884027,2201083111,4066800916,40000,200,150,19.47003641,23.33892211,27724626481,4836.200503,258.839903,1891.050724,1175.899393,0.229179683,18.45987824,0.132422787,1130.668294,1.634442228,0.493094973,0.209366349,2.349067545,1.331653665,28.79199381,49.99113058,82.04773061,19398.23091,54.28136222,0.03710469,0.152071228,0.089326607
2879,0.437609436,283752188.7,low,0.626267525,0.982737436,1091368718,0.201929534,0.652855875,630571175.1,1.5,0.824083571,929633428.3,0.285313027,0.031946428,0.078656548,,0.432109636,1818531563,251573047.7,372948826.1,2896267.789,1332096348,60577333.28,76333330.26,4337700764,2470508796,1867191968,150000,400,500,19.78850283,23.68273884,28140847898,4910.483081,259.1161781,1891.050724,1175.791659,0.259054896,32.11818774,0.12451666,1145.624882,1.864037769,0.536069493,0.210150672,2.340599679,1.328380548,28.86205275,51.16085809,83.6312445,19806.66672,55.03916731,0.037152723,0.152687234,0.089574559
